nodes,oai,dfs
0,1.798,0.013
1,2.662,0.035
1,0.729,0.029
1,0.212,0.028
2,0.867,0.046
2,0.416,0.044
4,0.153,0.056
4,0.257,0.046
5,33.713,0.048
7,0.305,0.079
7,3.709,0.074
11,0.119,0.08
16,8.22,0.133
20,0.249,0.145
20,3.369,0.291
28,1.41,0.19
39,0.335,0.222
42,0.971,0.371
50,1.563,0.275
60,0.904,0.327
97,0.708,0.708
105,1.021,0.661
180,2.079,1.137
203,3.751,1.409
221,1.455,1.404
242,2.828,1.73
313,3.038,1.833
361,4.418,2.214
412,2.316,2.372
472,0.71,2.921
475,3.725,2.977
530,0.972,3.215
569,1.652,3.439
608,0.879,3.779
713,11.684,8.77
783,1.358,4.536
840,1.743,4.658
853,0.579,7.336
886,6.512,5.208
888,1.907,5.415
987,0.143,5.804
1223,1.599,7.177
1270,2.015,7.365
1366,2.025,8.307
1369,3.153,9.349
1379,1.35,16.763
1478,16.761,8.692
1565,5.197,10.423
2304,4.49,13.629
2415,12.208,14.346
2480,2.233,14.828
2563,8.789,19.626
2570,0.94,14.967
2972,0.223,19.948
3108,4.119,18.996
3282,10.043,20.389
3499,27.234,23.421
3734,14.763,21.778
3938,4.347,22.728
4139,3.048,25.661
4151,6.023,24.457
4441,5.887,67.517
4503,4.636,26.891
4689,5.643,59.457
5099,33.934,31.641
5146,3.545,30.526
5241,21.378,33.085
5564,1.531,36.561
5576,8.856,38.644
5915,8.426,35.573
6048,1.973,38.645
6171,11.256,36.604
6206,7.967,38.831
6229,2.943,43.599
6461,9.604,48.827
6775,3.532,43.215
6803,5.754,39.483
7052,10.908,43.961
7417,0.128,50.196
7747,9.368,46.528
8052,7.11,47.933
8413,11.026,52.504
8837,3.555,58.575
9039,15.075,54.896
9227,7.598,64.017
9389,5.283,59.722
9641,8.196,60.79
9856,3.371,60.059
9864,13.431,87.374
11397,8.208,82.084
12400,5.28,83.923
12815,11.143,85.822
13008,19.03,78.108
13740,2.996,95.871
13829,19.535,85.277
14174,25.723,96.151
14634,17.114,87.011
14785,4.161,92.562
16205,11.276,97.209
16869,19.743,104.595
18166,4.136,111.589
19907,19.422,116.535
20012,4.448,132.345
22015,8.101,158.564
23204,17.131,193.247
23736,15.908,242.051
24136,11.351,164.26
24205,5.105,146.042
24407,12.799,151.883
26930,5.3,166.96
29749,25.053,183.771
29811,2.073,186.804
31205,14.312,194.571
32341,7.252,205.319
33201,8.386,925.348
35081,8.786,472.871
36696,17.958,256.709
37252,16.317,235.455
37550,3.317,256.131
40469,44.588,346.3
41019,14.903,261.424
42974,6.283,279.565
43191,3.797,271.835
47470,31.498,298.608
48717,17.328,290.794
48748,10.069,309.694
53920,14.14,356.439
54521,7.672,331.493
56107,0.037,334.225
57099,30.672,360.34
57164,27.605,365.137
58491,11.965,393.509
61107,0.55,395.901
68332,15.914,412.752
71724,16.161,450.471
72698,13.203,465.731
74170,15.743,436.983
76247,5.015,478.696
76429,15.938,460.222
79149,104.974,689.693
86044,28.125,518.862
88966,7.228,668.292
91921,26.669,1179.751
100552,31.018,627.693
102423,19.686,633.52
103306,41.779,743.351
105951,31.136,865.722
120258,22.861,895.987
122869,25.987,761.449
125308,9.34,824.67
127867,20.32,906.68
139428,39.742,1180.591
175132,123.1,1877.281
210221,74.182,1401.966
252079,87.493,1576.908
262064,43.055,2367.359
281569,82.71,1826.719
295732,131.43,1853.47
391060,66.745,2474.179
404719,116.609,4230.788
422780,4.78,2839.579
434750,33.734,2782.116
453359,40.747,2976.7
535689,28.04,3403.286
654757,153.105,4707.168
674664,61.902,5639.613
732092,51.903,4553.827
755072,78.948,4907.424
792442,96.583,4973.252
820553,6.07,5281.068
879193,29.341,5483.272
933257,16.32,5843.015
1200866,0.081,7824.285
1316671,0.338,10481.044
1396195,146.964,10661.575
1563892,56.705,10394.309
1571326,99.268,10609.238
1755162,28.61,11730.499
2973407,92.084,20491.725
3276751,257.552,21718.215
5002634,84.334,33357.8
5169124,459.242,43292.189
5384883,329.364,42158.023
8183462,271.972,62841.697
11497195,128.495,77843.52
12518063,108.095,93141.41