Nodes,OAI,AI,DFS
0,0.073,0.174,0.009
1,1.619,14.107,0.017
2,0.518,6.699,0.032
3,3.496,104.673,0.037
4,0.087,0.077,0.032
5,1.15,34.957,0.063
6,0.122,0.114,0.189
7,0.464,2.104,0.043
8,0.067,0.063,0.08
13,0.245,0.298,0.073
18,0.181,0.036,0.11
44,0.317,2.569,0.451
50,0.434,1.149,0.338
63,0.045,0.041,0.394
72,6.221,77.735,0.475
73,3.216,557.744,0.389
103,0.057,0.059,0.593
183,0.266,0.311,1.167
189,0.84,26.48,1.099
208,0.498,15.387,1.12
267,2.521,477.622,1.412
288,0.855,13.593,1.552
309,1.395,42.949,1.795
321,0.841,15.932,1.951
354,0.854,14.948,1.939
397,1.46,34.652,2.263
460,1.614,45.506,2.786
504,0.184,0.292,2.82
522,2.607,620.762,2.99
541,0.797,34.203,2.882
555,1.897,121.877,5.93
640,1.416,298.816,3.593
646,1.52,18.424,3.726
855,1.888,8.575,6.948
858,0.942,0.941,5.582
879,0.385,0.614,4.96
899,0.313,0.844,6.293
942,0.156,0.071,6.343
985,1.158,24.496,5.803
1184,1.782,60.925,6.34
1403,2.207,174.328,24.521
1570,1.599,10.985,10.678
1589,0.047,0.042,10.834
1900,1.167,26.575,12.766
2014,1.293,35.146,11.035
2041,3.607,13.034,10.946
2109,0.196,0.504,11.958
2235,1.839,49.24,12.847
2518,2.272,47.969,14.435
2741,1.462,429.044,14.745
3090,3.293,772.635,17.043
3638,0.045,0.041,22.228
4192,2.034,41.825,22.688
4237,3.992,392.025,24.342
4520,1.97,28.069,25.367
5260,0.71,5.66,37.489
5604,0.041,0.036,33.091
6065,3.45,352.443,33.311
9447,2.896,374.552,52.368
10328,3.698,1249.934,69.768
11645,1.452,13.933,69.874
12598,3.531,302.624,87.099
12609,2.325,84.728,69.632
17473,2.649,311.839,101.491
17474,3.266,557.267,106.623
17581,2.511,1117.787,96.943
24558,1.883,85.493,142.487
24811,2.471,126.178,148.748
26059,1.407,16.923,153.649
30240,6.833,5812.996,194.803
52958,8.385,55262.27,306.003
56638,0.337,0.629,346.686
103286,0.051,0.048,601.23
146184,3.915,1465.997,878.233